Period,Unemployed
11/2010 - 1/2011,128.6
12/2010 - 2/2011,122.5
1/2011 - 3/2011,124
2/2011 - 4/2011,132.1
3/2011 - 5/2011,135.8
4/2011 - 6/2011,137.6
5/2011 - 7/2011,137.5
6/2011 - 8/2011,130.1
7/2011 - 9/2011,126.7
8/2011 - 10/2011,124.8
9/2011 - 11/2011,120.9
10/2011 - 12/2011,116.6
11/2011 - 1/2012,112.8
12/2011 - 2/2012,119.3
1/2012 - 3/2012,123.3
2/2012 - 4/2012,124.3
3/2012 - 5/2012,123.7
4/2012 - 6/2012,127.1
5/2012 - 7/2012,129
6/2012 - 8/2012,130.8
7/2012 - 9/2012,132.1
8/2012 - 10/2012,129.9
9/2012 - 11/2012,126.4
10/2012 - 12/2012,116.6
11/2012 - 1/2013,122.3
12/2012 - 2/2013,124.7
1/2013 - 3/2013,133.9
2/2013 - 4/2013,134.5
3/2013 - 5/2013,135.2
4/2013 - 6/2013,133.3
5/2013 - 7/2013,135.2
6/2013 - 8/2013,136.3
7/2013 - 9/2013,134.6
8/2013 - 10/2013,129.8
9/2013 - 11/2013,127.8
10/2013 - 12/2013,118.5
11/2013 - 1/2014,113.5
12/2013 - 2/2014,112.3
1/2014 - 3/2014,119
2/2014 - 4/2014,122.1
3/2014 - 5/2014,122.2
4/2014 - 6/2014,127.6
5/2014 - 7/2014,134.5
6/2014 - 8/2014,137.2
7/2014 - 9/2014,135
8/2014 - 10/2014,131.3
9/2014 - 11/2014,128.1
10/2014 - 12/2014,122.6
11/2014 - 1/2015,120.2
12/2014 - 2/2015,121.4
1/2015 - 3/2015,126.5
2/2015 - 4/2015,127.2
3/2015 - 5/2015,127
4/2015 - 6/2015,129.2
5/2015 - 7/2015,133.2
6/2015 - 8/2015,137.7
7/2015 - 9/2015,137
8/2015 - 10/2015,133.9
9/2015 - 11/2015,130.3
10/2015 - 12/2015,123.6
11/2015 - 1/2016,122.1
12/2015 - 2/2016,122.9
1/2016 - 3/2016,131.1
2/2016 - 4/2016,134.5
3/2016 - 5/2016,134.7
4/2016 - 6/2016,136.9
5/2016 - 7/2016,139.1
6/2016 - 8/2016,141.7
7/2016 - 9/2016,140
8/2016 - 10/2016,136.3
9/2016 - 11/2016,131
10/2016 - 12/2016,122.4
11/2016 - 1/2017,121.1
12/2016 - 2/2017,119.4
1/2017 - 3/2017,125
2/2017 - 4/2017,127.2
3/2017 - 5/2017,126.3
4/2017 - 6/2017,125.2
5/2017 - 7/2017,128.2
6/2017 - 8/2017,130
7/2017 - 9/2017,128.2
8/2017 - 10/2017,123.6
9/2017 - 11/2017,117.8
10/2017 - 12/2017,109.8
11/2017 - 1/2018#,106.6
